'a'bu'dun 阿部敦
'a'cheng'jia'nai 阿澄佳奈
'a'ye 阿夜
'ai'de'xiu'fu'guang'xian 爱的修复光线
'ai'shang'ni'de'yan'jing 爱上你的眼睛
'an'bu'run 安部润
'an'zhi'yao 暗之耀
'ba'ba'he'ma'ma'de'hui'yi 爸爸和妈妈的回忆
'bai'jin'sheng'huang 白金圣皇
'bai'qi 白旗
'bei'shang'de'sheng'dan'jie'qian'ye 悲伤的圣诞节前夜
'bian'li'wei'shi 边里唯世
'bian'shen 变身
'bing'qing 氷青
'bu'de'bu'ai 不得不爱
'cai'se'hua'bu 彩色画布
'cai'se'hua'bu'te'bie'ban 彩色画布特别版
'chang'cang'tuo'zai 长仓拓哉
'chao'ji'huan'le 超级欢乐
'cheng'kong'xue'yuan 澄空学园
'cheng'kong'zi'mu'zu 澄空字幕组
'cheng'tian'sha'shi'xiang 成田纱矢香
'chu'lian'de'hun'li'dan'gao 初恋的婚礼蛋糕
'chun'jie'zhi'mei 纯洁之魅
'chun'tian'que'yao'gao'bie 春天却要告别
'cun'jing 村井
'da'di 大地
'da'sao'luan'xin'nian'yan'chang'hui 大骚乱新年演唱会
'di'si'ge'shou'hu'dan 第四个守护蛋
'ding'dong'xiang 叮咚响
'ding'shang'de'bu'zhi'shi'suo 盯上的不只是锁
'dong'jing 东京
'dong'jing'dian'shi'tai 东京电视台
'e'meng'yao'jing 恶梦妖精
'e'mo'san'cha'ji 恶魔三叉戟
'e'mo'zhi'yin 恶魔之音
'er'jie'tang 二阶堂
'er'jie'tang'you 二阶堂悠
'fang'kuai 方块
'feng'qi'ai'sheng 丰崎爱生
'feng'zhong'wu'dong'de'yin'fu 风中舞动的音符
'fu'huo'she 复活社
'fu'zi 抚子
'gan'diao'huai'tian'xin 干掉坏甜心
'gang'ben'xin'yan 冈本信彦
'gao'mu'li'zi 高木礼子
'gao'xing'er'hai'xiu'de'chu'ci'yue'hui 高兴而害羞的初次约会
'ge'bei 歌呗
'gong'si 公司
'gu'shan'gui'shi'zi 古山贵实子
'hai'li 海里
'hei'an'bao'shi 黑暗宝石
'hei'se'shan'mao 黑色山猫
'hu'mu'xin'zi 冴木信子
'hua'xue'chang'he'shou'hu'tian'xin 滑雪场和守护甜心
'huai'dan 坏蛋
'huai'tian'xin 坏甜心
'huang'jin'wang'zi'hou'pian 黄金王子后篇
'huang'jin'wang'zi'qian'pian 黄金王子前篇
'hui'liu 绘琉
'hui'xuan'zhi'xin 回旋之心
'hui'xuan'zhi'xin'te'bie'ban 回旋之心特别版
'ji'dou 几斗
'ji'ye'yu'xing 吉野裕行
'jia'teng'nai'hui 加藤奈絵
'jian'dao'chun'si 间岛淳司
'jian'gong 间宫
'jiang'tan'she 讲谈社
'jie'mu'mi'ye 结木弥耶
'jie'zou 节奏
'jin'ye'hong'mei 今野宏美
'jing'e'e'mo 净恶恶魔
'jing'e'fang'kuai 净恶方块
'jing'e'hua'bi 净恶画笔
'jing'e'san'ye'cao 净恶三叶草
'jing'e'tian'shi 净恶天使
'jing'e'zhi'xin 净恶之心
'jiu'yu'xue 鸠羽雪
