'bei'kong'she'bei'ming'cheng 被控设备名称
'bian'feng'liang 变风量
'bu'feng'ji 补风机
'bu'shui'beng 补水泵
'chao'gao'ye'wei'bao'jing 超高液位报警
'chao'wen'bao'jing 超温报警
'chuan'gan'qi 传感器
'chuan'gan'qi'huo'zhi'xing'qi 传感器或执行器
'di'ye'wei'bao'jing 低液位报警
'di'yuan're'beng 地源热泵
'dian'biao 点表
'dian'dong'liang'tong'fa 电动两通阀
'dian'dong'liang'tong'tiao'jie'fa 电动两通调节阀
'dian'dong'pang'tong'fa 电动旁通阀
'dian'xing 点型
'diao'ding'shi 吊顶式
'diao'ding'shi'kong'tiao'xiang 吊顶式空调箱
'ding'feng'liang 定风量
'duan'zi'hao 端子号
'duo'gong'neng'ting 多功能厅
'er'ci'shui 二次水
'er'ci'shui'beng 二次水泵
'er'ci'shui'xun'huan'beng 二次水循环泵
'er'yang'hua'tan'chuan'gan'qi 二氧化碳传感器
'fang'dong'kai'guan 防冻开关
'fei'man'guan'liu 非满管流
'feng'dao'shi'du'chuan'gan'qi 风道湿度传感器
'feng'dao'wen'du'chuan'gan'qi 风道温度传感器
'feng'fa'zhi'xing'qi 风阀执行器
'feng'ji 风机
'feng'ji'gu'zhang 风机故障
'feng'ji'gu'zhang'bao'jing 风机故障报警
'feng'ji'qi'ting'kong'zhi 风机启停控制
'feng'ji'shou'zi'dong'zhuang'tai 风机手自动状态
'feng'ji'yun'xing'zhuang'tai 风机运行状态
'feng'ji'zhuang'tai 风机状态
'feng'leng'ji'zu 风冷机组
'feng'leng'ji'zu'gu'zhang'bao'jing 风冷机组故障报警
'feng'leng'ji'zu'qi'ting'kong'zhi 风冷机组启停控制
'feng'leng'ji'zu'shou'zi'dong'zhuang'tai 风冷机组手自动状态
'feng'leng'ji'zu'yun'xing'zhuang'tai 风冷机组运行状态
'gao'ye'wei'bao'jing 高液位报警
'gong'gong'zhao'ming 公共照明
'gong'lv'yin'shu'bian'song'qi 功率因数变送器
'guo'lv'wang'ya'cha'bao'jing 过滤网压差报警
'hang'kong'zhang'ai'deng 航空障碍灯
'hui'feng'ji 回风机
'hui'feng'ji'gu'zhang 回风机故障
'hui'feng'ji'gu'zhang'bao'jing 回风机故障报警
'hui'feng'ji'qi'ting'kong'zhi 回风机启停控制
'hui'feng'ji'shou'zi'dong'zhuang'tai 回风机手自动状态
'hui'feng'ji'yun'xing'zhuang'tai 回风机运行状态
'hui'feng'ji'zhuang'tai 回风机状态
'hui'feng'shi'du 回风湿度
'hui'feng'wen'du 回风温度
'hui'lu'kai'guan'kong'zhi 回路开关控制
'hui'lu'kai'guan'zhuang'tai 回路开关状态
'hun'feng'shi'du 混风湿度
'hun'feng'wen'du 混风温度
'ji'fen'shui'qi 集分水器
'ji'shui'beng 集水泵
'ji'shui'keng 集水坑
'ji'zu'gu'zhang'bao'jing 机组故障报警
'ji'zu'qi'ting'kong'zhi 机组启停控制
'ji'zu'shou'zi'dong'zhuang'tai 机组手自动状态
'ji'zu'yun'xing'zhuang'tai 机组运行状态
'jian'kong'dian'biao 监控点表
'jian'kong'nei'rong 监控内容
'jin'xian'dian'liu'ce'liang 进线电流测量
'jin'xian'dian'ya'ce'liang 进线电压测量
'jin'xian'duan'lu'qi'gu'zhang'bao'jing 进线断路器故障报警
'jin'xian'duan'lu'qi'kai'guan'zhuang'tai 进线断路器开关状态
'jin'xian'gong'lv'yin'shu 进线功率因数
'jin'xian'gu'zhang'bao'jing 进线故障报警
'jin'xian'kai'guan'zhuang'tai 进线开关状态
'kai'guan'die'fa 开关蝶阀
'ke'ming 科明
'ke'ming'gong'si 科明公司
'ke'ming'zi'kong 科明自控
'kong'qi'mu 空气幕
'kong'tiao'ji'zu 空调机组
'kong'tiao'shui 空调水
'kong'tiao'shui'beng 空调水泵
'kong'tiao'shui'xi'tong 空调水系统
'kong'tiao'xiang 空调箱
'kong'zhi'qi 控制器
'leng'dong'shui'dian'dong'die'fa'kong'zhi 冷冻水电动蝶阀控制
'leng'dong'shui'dian'dong'die'fa'zhuang'tai 冷冻水电动蝶阀状态
'leng'dong'shui'gong'shui'wen'du 冷冻水供水温度
'leng'dong'shui'gong'shui'ya'li 冷冻水供水压力
'leng'dong'shui'hui'shui'wen'du 冷冻水回水温度
'leng'dong'shui'hui'shui'ya'li 冷冻水回水压力
'leng'dong'shui'liu'liang 冷冻水流量
'leng'dong'shui'xi'tong 冷冻水系统
'leng'que'shui'dian'dong'die'fa'kong'zhi 冷却水电动蝶阀控制
'leng'que'shui'dian'dong'die'fa'zhuang'tai 冷却水电动蝶阀状态
'leng'que'shui'gong'shui'wen'du 冷却水供水温度
'leng'que'shui'gong'shui'ya'li 冷却水供水压力
'leng'que'shui'hui'shui'wen'du 冷却水回水温度
'leng'que'shui'hui'shui'ya'li 冷却水回水压力
'leng'que'shui'jin'chu'shui'dian'dong'die'fa'zhuang'tai 冷却水进出水电动蝶阀状态
'leng'que'shui'liu'liang 冷却水流量
'leng'que'shui'xi'tong 冷却水系统
'leng'que'ta 冷却塔
'leng're'shui 冷热水
'leng'shui'ji'zu 冷水机组
'liu'liang'bian'song'qi 流量变送器
