'an'gen'zi 暗根子
'ma'liu'tui'si 马六退四
'ma'liu'tui'wu 马六退五
'ma'mei'zhe'zou 马每着走
'ma'pao 马炮
'ma'pao'bing 马炮兵
'ma'pao'shi'xiang'quan 马炮仕相全
'ma'pao'shuang'bing 马炮双兵
'ma'pao'shuang'zu'shi'xiang 马炮双卒士象
'ma'qi 马七
'ma'qi'jin'ba 马七进八
'ma'qi'jin'jiu 马七进九
'ma'qi'jin'liu 马七进六
'ma'qi'jin'wu 马七进五
'ma'qi'jin'wu'che 马七进五车
'ma'qi'tui'ba 马七退八
'ma'qi'tui'jiu 马七退九
'ma'qi'tui'liu 马七退六
'ma'qi'tui'wu 马七退五
'ma'qian'zu 马前卒
'ma'san'jin'er 马三进二
'ma'san'jin'si 马三进四
'ma'san'jin'wu 马三进五
'ma'san'jin'wu'che 马三进五车
'ma'san'jin'yi 马三进一
'ma'san'tui'er 马三退二
'ma'san'tui'si 马三退四
'ma'san'tui'wu 马三退五
'ma'san'tui'yi 马三退一
'ma'shi'xiang'quan 马士象全
'ma'si'jin'er 马四进二
'ma'si'jin'liu 马四进六
'ma'si'jin'san 马四进三
'ma'si'jin'wu 马四进五
'ma'si'jin'wu'che 马四进五车
'ma'si'tui'er 马四退二
'ma'si'tui'liu 马四退六
'ma'si'tui'san 马四退三
'ma'si'tui'wu 马四退五
'ma'tou'pao 马头炮
'ma'wu 马五
'ma'wu'jin'liu 马五进六
'ma'wu'jin'liu'che 马五进六车
'ma'wu'jin'qi 马五进七
'ma'wu'jin'san 马五进三
'ma'wu'jin'si 马五进四
'ma'wu'tui'liu 马五退六
'ma'wu'tui'qi 马五退七
'ma'wu'tui'san 马五退三
'ma'wu'tui'si 马五退四
'ma'xiang'qian 马象牵
'ma'yi'jin'er 马一进二
'ma'yi'jin'san 马一进三
'ma'yi'nan'tao'dun 马亦难逃遁
'ma'yi'tui'er 马一退二
'ma'yi'tui'san 马一退三
'ma'zou'ri'zi 马走日字
'ma'zu 马卒
'mei'hua'pu 梅花谱
'mei'hua'san'liu 梅花三六
'mei'yi'zhe 每一着
'mei'zhe 每着
'mei'zhe'ke'yi 每着可以
'mei'zu'shi'liu'ge 每组十六个
'men'gong 闷宫
'men'sha 闷杀
'meng'zhao'zhong'dui 孟昭忠对
'miao'da 瞄打
'miao'yong'ma 妙用马
'miao'yong'pao 妙用炮
'miao'yong'shuang'ma 妙用双马
'miao'yong'shuang'pao 妙用双炮
'ming'wei'xian'ma 名为献马
'ming'zhuo 明捉
'mo'zhao 末着
'mo'zi'zou'zi 摸子走子
'mou'bing'qu'sheng 谋兵取胜
'mou'hai'qin 牟海勤
'mou'zi'zhan'shu 谋子战术
'na'xu'yao'da'yue 那需要大约
'nan'zi'zu'gui'guan 男子组桂冠
'nei'meng'gu'xuan'shou 内蒙古选手
'ni'gu'da'san 尼姑打伞
'ni'shou'pao 逆手炮
'ni'xiang'ju 逆相局
'nian'quan'guo'ge'ren'sai 年全国个人赛
'ou'duan'si'qian 藕断丝牵
'ou'yang'qi'lin 欧阳琦琳
'pai'ju 排局
'pai'ju'yan'jiu 排局研究
'pan'he 判和
'pan'he'ma'tan'mi 盘河马探秘
'pan'quan'he 盘全和
'pan'tou'ma 盘头马
'pao'ba 炮八
'pao'ba'jin 炮八进
'pao'ba'jin'ba 炮八进八
'pao'ba'jin'er 炮八进二
'pao'ba'jin'jiu 炮八进九
'pao'ba'jin'liu 炮八进六
'pao'ba'jin'qi 炮八进七
'pao'ba'jin'san 炮八进三
'pao'ba'jin'si 炮八进四
'pao'ba'jin'wu 炮八进五
'pao'ba'jin'yi 炮八进一
'pao'ba'ping 炮八平
'pao'ba'ping'er 炮八平二
'pao'ba'ping'jiu 炮八平九
'pao'ba'ping'liu 炮八平六
'pao'ba'ping'qi 炮八平七
'pao'ba'ping'san 炮八平三
'pao'ba'ping'si 炮八平四
'pao'ba'ping'wu 炮八平五
'pao'ba'ping'yi 炮八平一
'pao'ba'tui 炮八退
'pao'ba'tui'ba 炮八退八
'pao'ba'tui'er 炮八退二
'pao'ba'tui'jiu 炮八退九
'pao'ba'tui'liu 炮八退六
'pao'ba'tui'qi 炮八退七
'pao'ba'tui'san 炮八退三
'pao'ba'tui'si 炮八退四
'pao'ba'tui'wu 炮八退五
'pao'ba'tui'yi 炮八退一
'pao'da'ge'zi 炮打隔子
'pao'er 炮二
'pao'er'jin 炮二进
'pao'er'jin'ba 炮二进八
'pao'er'jin'er 炮二进二
'pao'er'jin'jiu 炮二进九
'pao'er'jin'liu 炮二进六
'pao'er'jin'qi 炮二进七
'pao'er'jin'san 炮二进三
'pao'er'jin'si 炮二进四
'pao'er'jin'wu 炮二进五
'pao'er'jin'yi 炮二进一
'pao'er'ping 跑二平
'pao'er'ping'ba 炮二平八
'pao'er'ping'jiu 炮二平九
'pao'er'ping'liu 炮二平六
'pao'er'ping'qi 炮二平七
'pao'er'ping'san 炮二平三
'pao'er'ping'si 炮二平四
'pao'er'ping'wu 炮二平五
'pao'er'ping'yi 炮二平一
'pao'er'tui 炮二退
'pao'er'tui'ba 炮二退八
'pao'er'tui'er 炮二退二
'pao'er'tui'jiu 炮二退九
'pao'er'tui'liu 炮二退六
'pao'er'tui'qi 炮二退七
'pao'er'tui'san 炮二退三
'pao'er'tui'si 炮二退四
'pao'er'tui'wu 炮二退五
'pao'er'tui'yi 炮二退一
'pao'guan'zhi 炮管制
'pao'jiu 炮九
'pao'jiu'jin 炮九进
'pao'jiu'jin'ba 炮九进八
'pao'jiu'jin'er 炮九进二
'pao'jiu'jin'jiu 炮九进九
'pao'jiu'jin'liu 炮九进六
'pao'jiu'jin'qi 炮九进七
'pao'jiu'jin'san 炮九进三
'pao'jiu'jin'si 炮九进四
'pao'jiu'jin'wu 炮九进五
'pao'jiu'jin'yi 炮九进一
'pao'jiu'ping 炮九平
'pao'jiu'ping'ba 炮九平八
'pao'jiu'ping'er 炮九平二
'pao'jiu'ping'liu 炮九平六
'pao'jiu'ping'qi 炮九平七
'pao'jiu'ping'san 炮九平三
'pao'jiu'ping'si 炮九平四
'pao'jiu'ping'wu 炮九平五
'pao'jiu'ping'yi 炮九平一
'pao'jiu'tui 炮九退
'pao'jiu'tui'ba 炮九退八
'pao'jiu'tui'er 炮九退二
'pao'jiu'tui'jiu 炮九退九
'pao'jiu'tui'liu 炮九退六
'pao'jiu'tui'qi 炮九退七
'pao'jiu'tui'san 炮九退三
'pao'jiu'tui'si 炮九退四
'pao'jiu'tui'wu 炮九退五
'pao'jiu'tui'yi 炮九退一
'pao'liu 炮六
'pao'liu'jin 炮六进
'pao'liu'jin'ba 炮六进八
'pao'liu'jin'er 炮六进二
'pao'liu'jin'jiu 炮六进九
'pao'liu'jin'liu 炮六进六
'pao'liu'jin'qi 炮六进七
'pao'liu'jin'san 炮六进三
'pao'liu'jin'si 炮六进四
'pao'liu'jin'wu 炮六进五
'pao'liu'jin'yi 炮六进一
'pao'liu'ping 炮六平
'pao'liu'ping'ba 炮六平八
'pao'liu'ping'er 炮六平二
'pao'liu'ping'jiu 炮六平九
'pao'liu'ping'qi 炮六平七
'pao'liu'ping'san 炮六平三
'pao'liu'ping'si 炮六平四
'pao'liu'ping'wu 炮六平五
'pao'liu'ping'yi 炮六平一
'pao'liu'tui 炮六退
'pao'liu'tui'ba 炮六退八
'pao'liu'tui'er 炮六退二
'pao'liu'tui'jiu 炮六退九
'pao'liu'tui'liu 炮六退六
'pao'liu'tui'qi 炮六退七
'pao'liu'tui'san 炮六退三
'pao'liu'tui'si 炮六退四
'pao'liu'tui'wu 炮六退五
'pao'liu'tui'yi 炮六退一
'pao'nian'dan'sha 炮碾丹砂
'pao'qi 炮七
'pao'qi'jin 炮七进
'pao'qi'jin'ba 炮七进八
'pao'qi'jin'er 炮七进二
'pao'qi'jin'jiu 炮七进九
'pao'qi'jin'liu 炮七进六
'pao'qi'jin'qi 炮七进七
'pao'qi'jin'san 炮七进三
'pao'qi'jin'si 炮七进四
'pao'qi'jin'wu 炮七进五
'pao'qi'jin'yi 炮七进一
'pao'qi'ping 炮七平
'pao'qi'ping'ba 炮七平八
'pao'qi'ping'er 炮七平二
'pao'qi'ping'jiu 炮七平九
'pao'qi'ping'liu 炮七平六
'pao'qi'ping'san 炮七平三
'pao'qi'ping'si 炮七平四
'pao'qi'ping'si'jiang 炮七平四将
'pao'qi'ping'wu 炮七平五
'pao'qi'ping'yi 炮七平一
'pao'qi'tui 炮七退
'pao'qi'tui'ba 炮七退八
'pao'qi'tui'er 炮七退二
'pao'qi'tui'jiu 炮七退九
'pao'qi'tui'liu 炮七退六
'pao'qi'tui'qi 炮七退七
'pao'qi'tui'san 炮七退三
'pao'qi'tui'si 炮七退四
'pao'qi'tui'wu 炮七退五
'pao'qi'tui'yi 炮七退一
'pao'san 炮三
'pao'san'jin 炮三进
'pao'san'jin'ba 炮三进八
'pao'san'jin'er 炮三进二
'pao'san'jin'jiu 炮三进九
'pao'san'jin'liu 炮三进六
'pao'san'jin'qi 炮三进七
'pao'san'jin'san 炮三进三
'pao'san'jin'si 炮三进四
'pao'san'jin'wu 炮三进五
'pao'san'jin'yi 炮三进一
'pao'san'ping 炮三平
'pao'san'ping'ba 炮三平八
'pao'san'ping'er 炮三平二
'pao'san'ping'jiu 炮三平九
'pao'san'ping'liu 炮三平六
'pao'san'ping'qi 炮三平七
'pao'san'ping'si 炮三平四
'pao'san'ping'wu 炮三平五
'pao'san'ping'yi 炮三平一
'pao'san'tui 炮三退
'pao'san'tui'ba 炮三退八
'pao'san'tui'er 炮三退二
'pao'san'tui'jiu 炮三退九
'pao'san'tui'liu 炮三退六
'pao'san'tui'qi 炮三退七
'pao'san'tui'san 炮三退三
'pao'san'tui'si 炮三退四
'pao'san'tui'wu 炮三退五
'pao'san'tui'yi 炮三退一
'pao'si 炮四
'pao'si'jin 炮四进
'pao'si'jin'ba 炮四进八
'pao'si'jin'er 炮四进二
'pao'si'jin'jiu 炮四进九
'pao'si'jin'liu 炮四进六
'pao'si'jin'qi 炮四进七
'pao'si'jin'san 炮四进三
'pao'si'jin'si 炮四进四
'pao'si'jin'wu 炮四进五
'pao'si'jin'yi 炮四进一
'pao'si'ping 炮四平
'pao'si'ping'ba 炮四平八
'pao'si'ping'er 炮四平二
'pao'si'ping'jiu 炮四平九
'pao'si'ping'liu 炮四平六
'pao'si'ping'qi 炮四平七
'pao'si'ping'san 炮四平三
'pao'si'ping'wu 炮四平五
'pao'si'ping'yi 炮四平一
'pao'si'tui 炮四退
'pao'si'tui'ba 炮四退八
'pao'si'tui'er 炮四退二
'pao'si'tui'jiu 炮四退九
'pao'si'tui'liu 炮四退六
'pao'si'tui'qi 炮四退七
'pao'si'tui'san 炮四退三
'pao'si'tui'si 炮四退四
'pao'si'tui'wu 炮四退五
'pao'si'tui'yi 炮四退一
'pao'wu 炮五
'pao'wu'jin 炮五进
'pao'wu'jin'ba 炮五进八
'pao'wu'jin'er 炮五进二
'pao'wu'jin'jiu 炮五进九
'pao'wu'jin'liu 炮五进六
'pao'wu'jin'qi 炮五进七
'pao'wu'jin'san 炮五进三
'pao'wu'jin'si 炮五进四
'pao'wu'jin'wu 炮五进五
'pao'wu'jin'yi 炮五进一
'pao'wu'ping 炮五平
'pao'wu'ping'ba 炮五平八
'pao'wu'ping'er 炮五平二
'pao'wu'ping'jiu 炮五平九
'pao'wu'ping'liu 炮五平六
'pao'wu'ping'qi 炮五平七
'pao'wu'ping'san 炮五平三
'pao'wu'ping'si 炮五平四
'pao'wu'ping'yi 炮五平一
'pao'wu'tui 炮五退
'pao'wu'tui'ba 炮五退八
'pao'wu'tui'er 炮五退二
'pao'wu'tui'jiu 炮五退九
'pao'wu'tui'liu 炮五退六
'pao'wu'tui'qi 炮五退七
'pao'wu'tui'san 炮五退三
'pao'wu'tui'si 炮五退四
'pao'wu'tui'wu 炮五退五
'pao'wu'tui'yi 炮五退一
'pao'yi 炮一
'pao'yi'jin 炮一进
'pao'yi'jin'ba 炮一进八
'pao'yi'jin'er 炮一进二
'pao'yi'jin'jiu 炮一进九
'pao'yi'jin'liu 炮一进六
'pao'yi'jin'qi 炮一进七
'pao'yi'jin'san 炮一进三
'pao'yi'jin'si 炮一进四
'pao'yi'jin'wu 炮一进五
'pao'yi'jin'yi 炮一进一
'pao'yi'ping 炮一平
'pao'yi'ping'ba 炮一平八
'pao'yi'ping'er 炮一平二
'pao'yi'ping'jiu 炮一平九
'pao'yi'ping'liu 炮一平六
'pao'yi'ping'qi 炮一平七
'pao'yi'ping'san 炮一平三
'pao'yi'ping'si 炮一平四
'pao'yi'ping'wu 炮一平五
'pao'yi'tui 炮一退
'pao'yi'tui'ba 炮一退八
'pao'yi'tui'er 炮一退二
'pao'yi'tui'jiu 炮一退九
'pao'yi'tui'liu 炮一退六
'pao'yi'tui'qi 炮一退七
'pao'yi'tui'san 炮一退三
'pao'yi'tui'si 炮一退四
'pao'yi'tui'wu 炮一退五
'pao'yi'tui'yi 炮一退一
'pao'zhen'zhong'lu 炮镇中路
'pao'zu 炮卒
'pi'ma'dan'dao 匹马单刀
'pian'ma'ju 偏马局
'ping'ba 平八
'ping'er 平二
'ping'feng'ma 屏风马
'ping'jiu 平九
'ping'liu 平六
'ping'pao 平炮
'ping'pao'da'sao 平炮打扫
'ping'qi 平七
'ping'qi'ma 平七马
'ping'san 平三
'ping'si 平四
'ping'wu 平五
'ping'wu'zu 平五卒
'ping'yi 平一
'ping'zhong'pao 平中炮
'po'shi 破仕
'po'shi'duo'guan 破仕夺关
'po'shi'lue'xiang 破仕掠相
'pu'dong'dui 浦东队
'qi'bing 七兵
'qi'bing 弃兵
'qi'bing'zheng'xian 弃兵争先
'qi'gui'jiao'liu 棋规交流
'qi'he 骑河
'qi'li 棋例
'qi'li'cai'jue 棋例裁决
'qi'ma 七马
'qi'ma 起马
'qi'ma'dui'ting'zu 起马对挺卒
'qi'ma'ju 起马局
'qi'ma'shi'san'zhe 弃马十三着
'qi'pan'shang 棋盘上
'qi'pan'zhong'jian 棋盘中间
'qi'ping 棋评
'qi'pu'lai'yuan 棋谱来源
'qi'qu'xiang'qi'pai'ju'pu 奇趣象棋排局谱
'qi'shi'da'ma 弃士打马
'qi'shu 棋书
'qi'ta'qi'zi 其它棋子
'qi'xiang'xian'che 弃象陷车
'qi'zi'cheng'he 弃子成和
'qi'zi'chi'diao 棋子吃掉
'qi'zi'jie'kun 弃子解困
'qi'zi'mou'zi 弃子谋子
'qi'zi'neng'gou 棋子能够
'qi'zi'qu'shi 弃子取势
'qi'zi'ru'ju 弃子入局
'qi'zi'xian'zi 弃子陷子
'qi'zu 七卒
'qi'zu'po'shi 弃卒破仕
'qian'bing 前兵
'qian'bing'jin'yi 前兵进一
'qian'bing'ping 前兵平
'qian'bing'ping'liu 前兵平六
'qian'li'zhao'mian 千里照面
'qian'ma 前马
'qian'ma'jin 前马进
'qian'ma'tui 前马退
'qian'pao 前炮
'qian'zhi'zhan'shu 牵制战术
'qian'zu'jin'yi 前卒进一
'qian'zu'ping 前卒平
'qiao'lian'cheng'ju 巧连成局
'qu'hua'jie'bei 去化解被
'qu'pao 去炮
'qu'sheng'jiao'nan 取胜较难
'qu'sheng'ke'neng 取胜可能
'qu'tou'ping'feng'ma 屈头屏风马
'qu'zu 去卒
'quan'guo'xiang'qi'jia'ji'lian'sai 全国象棋甲级联赛
'quan'guo'xiang'qi'jin'biao'sai 全国象棋锦标赛
'quan'guo'xiang'qi'qing'nian'jin'biao'sai 全国象棋青年锦标赛
'quan'heng'huan'ji 权衡缓急
'ran'hou'liang'shuai'zhu'gong 然后亮帅助攻
'ru'gai'zou 如改走
'ru'gai'zou'bing 如改走兵
'ru'gai'zou'che 如改走车
'ru'gai'zou'ma 如改走马
'ru'gai'zou'pao 如改走炮
'ru'hei 如黑
'ru'ji'yu'zou 如急于走
'ru'yi'fang 如一方
'ruan'ying'pao 软硬炮
'sai'ji'lin 赛吉林
'sai'xiang'yan 塞相眼
'san'bing 三兵
'san'bu'hu 三步虎
'san'che'nao'shi 三车闹士
'san'ji'qi'shi 三级棋士
'san'jin'bing 三进兵
'san'shi'er'ge 三十二个
'san'xian'lian'dan 三仙炼丹
'san'zi'gui'bian 三子归边
'san'zu 三卒
'sha'fa 杀法
'sha'qi 杀棋
'sha'shi'qu'sheng 杀势取胜
'shan'ding'gong 山顶公
'shan'dong'xuan'shou 山东选手
'shan'lu 闪露
'shang'hai'pu'dong'hua'mu'guang'yang'dui 上海浦东花木广洋队
'shang'shi 上仕
'she'xiao'jiu'da 舍小救大
'shen'hou'de'gong'fu 深厚的功夫
'shen'ju 审局
'shen'ju'du'shi 审局度势
'shen'shi 审势
'shen'wei'qiao'miao 甚为巧妙
'shen'zhou'ba'jun 神州八骏
'shen'zi 审子
'sheng'ding 胜定
'sheng'jiang'san'lou 升将三楼
'sheng'ju'yi'ding 胜局已定
'sheng'pao 胜炮
'sheng'pao'xun'he 升炮巡河
'sheng'shuang 胜双
'shi'can'qi 是残棋
'shi'ge'liang'ge 士各两个
'shi'jiao'pao 士角炮
'shi'jiao'pao'dui'qi'ma'ju 士角炮对起马局
'shi'jiao'pao'dui'ting'zu 士角炮对挺卒
'shi'liu 士六
'shi'liu'jin'wu 仕六进五
'shi'liu'jin'wu 士六进五
'shi'liu'jin'wu'che 仕六进五车
'shi'liu'tui'wu 仕六退五
'shi'liu'tui'wu'che 仕六退五车
'shi'liu'tui'wu'zu 仕六退五卒
'shi'mei'yi'zhe'zhi'xu'yan 士每一着只许沿
'shi'nai'e'zha 实乃讹诈
'shi'qing'ya'qu'xiang'qi'gu'pu'xin'bian 适情雅趣象棋古谱新编
'shi'si 士四
'shi'si'jin'wu 仕四进五
'shi'si'jin'wu 士四进五
'shi'si'jin'wu'che 仕四进五车
'shi'si'jin'wu'jiang 仕四进五将
'shi'si'jin'wu'pao 仕四进五炮
'shi'si'tui'wu 仕四退五
'shi'si'tui'wu'che 仕四退五车
'shi'si'tui'wu'shi 仕四退五士
'shi'si'tui'wu'zu 仕四退五卒
'shi'wu 士五
'shi'wu'jin'liu 仕五进六
'shi'wu'jin'liu 士五进六
'shi'wu'jin'liu'che 仕五进六车
'shi'wu'jin'liu'ma 仕五进六马
'shi'wu'jin'liu'pao 仕五进六炮
'shi'wu'jin'liu'shi 仕五进六士
'shi'wu'jin'liu'zu 仕五进六卒
'shi'wu'jin'si 仕五进四
'shi'wu'jin'si 士五进四
'shi'wu'jin'si'pao 仕五进四炮
'shi'wu'tui'liu 仕五退六
'shi'wu'tui'liu 士五退六
'shi'wu'tui'si 仕五退四
'shi'wu'tui'si 士五退四
'shi'wu'tui'si'che 仕五退四车
'shi'wu'tui'si'pao 仕五退四炮
'shi'wu'tui'si'shi 仕五退四士
'shi'xiang 仕相
'shi'xiang 士象
'shi'xiang'quan 仕相全
'shi'xiang'quan 士象全
'shi'ze'wei'liang'shuai 实则为亮帅
'shi'zhan'zhao'fa'shi 实战着法是
'shi'zi'de'shi 失子得势
'shi'zi'shi'shi 失子失势
'shu'xian 数闲
'shuai'he'jiang 帅和将
'shuai'liu 帅六
'shuai'liu'jin'yi 帅六进一
'shuai'liu'jin'yi'jiang 帅六进一将
'shuai'liu'ping'wu 帅六平五
'shuai'liu'ping'wu'che 帅六平五车
'shuai'liu'ping'wu'jiang 帅六平五将
'shuai'liu'ping'wu'ma 帅六平五马
'shuai'liu'ping'wu'pao 帅六平五炮
'shuai'liu'ping'wu'shi 帅六平五士
'shuai'liu'ping'wu'xiang 帅六平五象
'shuai'liu'ping'wu'zu 帅六平五卒
'shuai'liu'tui'yi 帅六退一
'shuai'liu'tui'yi'che 帅六退一车
'shuai'liu'tui'yi'ma 帅六退一马
'shuai'mei'yi'zhe 帅每一着
'shuai'si 帅四
'shuai'si'jin'yi 帅四进一
'shuai'si'ping'wu 帅四平五
'shuai'si'ping'wu'che 帅四平五车
'shuai'si'ping'wu'ma 帅四平五马
'shuai'si'ping'wu'pao 帅四平五炮
'shuai'si'ping'wu'xiang 帅四平五象
'shuai'si'ping'wu'zu 帅四平五卒
'shuai'si'tui'yi 帅四退一
'shuai'wu 帅五
'shuai'wu'jin'yi 帅五进一
'shuai'wu'jin'yi'che 帅五进一车
'shuai'wu'jin'yi'pao 帅五进一炮
'shuai'wu'ping'liu 帅五平六
'shuai'wu'ping'liu'che 帅五平六车
'shuai'wu'ping'liu'jiang 帅五平六将
'shuai'wu'ping'liu'ma 帅五平六马
'shuai'wu'ping'liu'pao 帅五平六炮
'shuai'wu'ping'liu'shi 帅五平六士
'shuai'wu'ping'liu'xiang 帅五平六象
'shuai'wu'ping'liu'zu 帅五平六卒
'shuai'wu'ping'si 帅五平四
'shuai'wu'ping'si'che 帅五平四车
'shuai'wu'ping'si'ma 帅五平四马
'shuai'wu'ping'si'pao 帅五平四炮
'shuai'wu'tui'yi 帅五退一
'shuai'wu'tui'yi'che 帅五退一车
'shuai'wu'tui'yi'ma 帅五退一马
'shuai'wu'tui'yi'pao 帅五退一炮
'shuan'lian 栓链
'shuan'lian'kun'di 拴链困敌
'shuang'bing 双兵
'shuang'che'cuo 双车错
'shuang'fang'dou 双方都
'shuang'fang'ge'zou'liao'yi'zhe 双方各走了一着
'shuang'fang'jun'wu 双方均无
'shuang'fang'lun'liu'ge'zou'yi'zhao 双方轮流各走一着
'shuang'fang'pai'zhen 双方排阵
'shuang'fang'zou'qi 双方走棋
'shuang'guan'men 双关门
'shuang'jiang 双将
'shuang'jing'jiu 双敬酒
'shuang'ma'yin'quan 双马饮泉
'shuang'pao 双炮
'shuang'pao'guo'he 双炮过河
'shuang'qi'bing 双弃兵
'shuang'xian'jiu'bei 双闲酒杯
'shuang'zu 双卒
'shun'pao 顺炮
'shun'pao'heng'che'dui'zhi'che 顺炮横车对直车
'shun'pao'zhi'che'bian'ma'dui'huan'kai'che 顺炮直车边马对缓开车
'shun'pao'zhi'che'dui'heng'che 顺炮直车对横车
'shun'pao'zhi'che'dui'huan'kai'che 顺炮直车对缓开车
'shun'pao'zhi'che'jin'qi'bing'dui'huan'kai'che 顺炮直车进七兵对缓开车
'shun'pao'zhi'che'wu'liu'pao'dui'heng'che 顺炮直车五六炮对横车
'shun'shou'pao 顺手炮
'si'che'xiang'jian 四车相见
'si'pan'qi 四盘棋
'si'pao 四炮
'si'tai'bi'sai 四台比赛
'si'xian'qian'niu 丝线牵牛
'song'chi 送吃
'suan'du'shen'yuan 算度深远
'suan'zhun'ru'ju 算准入局
'suo'hou'dai'jian 锁喉带箭
'suo'zou'zhao'fa 所走着法
'tao'han'ming 陶汉明
'tao'lue'yuan'ji 韬略元机
'te'ji'da'shi'xiang'qi'shi'zhan'bu'ju 特级大师象棋实战布局
'te'ji'guo'ji'da'shi 特级国际大师
'te'sen 特森
'ti'chi 提吃
'ti'he 提和
'ti'he'ci'shu'dui'deng 提和次数对等
'ti'he'de'yi'fang 提和的一方
'ti'yi'zuo'he 提议作和
'tian'di'pao 天地炮
'tiao'chi 跳吃
'tie'jiang 贴将
'tie'men'shuan 铁门栓
'tie'men'shuan'miao'sha 铁门栓妙杀
'tie'men'shuan'miao'sha'li 铁门栓妙杀例
'tie'men'shuan'sha'fa'huo'sheng 铁门栓杀法获胜
'tie'shen'che 贴身车
'tie'shi'jing'jiao 贴时竞叫
'ting'bing 挺兵
'ting'bing'dui'hai'zhong'pao 挺兵对还中炮
'ting'bing'dui'jin'gou'pao 挺兵对金钩炮
'ting'bing'dui'jin'ma 挺兵对进马
'ting'bing'dui'qi'ma 挺兵对起马
'ting'zu 挺卒
'tong'dui'fang'jiang 同对方将
'tong'shi'ji'fang'qi'ta'qi'zi 同时己方其它棋子
'tou'zi'ren'fu 投子认负
'tu'po'zhan'shu 突破战术
'tui'ba 退八
'tui'er 退二
'tui'jiu 退九
'tui'liu 退六
'tui'ma'fan'ji 退马反击
'tui'pao 退炮
'tui'qi 退七
'tui'san 退三
'tui'si 退四
'tui'wu 退五
'tui'xiang 退象
'tui'yi 退一
'wang'bin 王斌
'wang'kong'xing 王孔兴
'wang'yang 汪洋
'wei'zou'man 未走满
'wen'bu'huan'gong 稳步缓攻
'wo'cao 卧槽
'wo'cao'ma 卧槽马
'wo'cao'ma'sha 卧槽马杀
'wo'xin'ma 窝心马
'wo'xin'pao 窝心炮
'wu'ba'pao 五八炮
'wu'ba'pao'dui'ping'feng'ma 五八炮对屏风马
'wu'ba'pao'jin'san'bing'dui'ping'feng'ma 五八炮进三兵对屏风马
'wu'ba'pao'jin'zheng'ma'dui'ping'feng'ma 五八炮进正马对屏风马
'wu'che'qi 无车棋
'wu'gen'zi 无根子
'wu'jin 五进
'wu'jin'si 五进四
'wu'jiu'pao 五九炮
'wu'jun'qiang 武俊强
'wu'liu'pao 五六炮
'wu'liu'pao'dui'fan'gong'ma 五六炮对反宫马
'wu'ping 五平
'wu'qi'pao'dui'fan'gong'ma 五七炮对反宫马
'wu'qi'pao'dui'ping'feng'ma 五七炮对屏风马
'wu'qi'pao'dui'ping'feng'ma'jin'qi'zu 五七炮对屏风马进七卒
'wu'qi'pao'shuang'qi'bing'dui'fan'gong'ma 五七炮双弃兵对反宫马
'wu'yang'bei 五羊杯
'wu'zou 误走
'wu'zu 五卒
'xi'qi'bu'bei 袭其不备
'xian'che 献车
'xian'de'chu'zhe 先得出者
'xian'feng'ma 先锋马
'xian'fu 先负
'xian'ma'miao'ji 献马妙极
'xian'qi'hou'qu 先弃后取
'xian'ren'zhi'lu 仙人指路
'xian'ren'zhi'lu'dui'jin'gou'pao 仙人指路对金钩炮
'xian'ren'zhi'lu'dui'zu'di'pao 仙人指路对卒底炮
'xian'ren'zhi'lu'dui'zu'di'pao'fei'zuo'xiang 仙人指路对卒底炮飞左象
'xian'ren'zhi'lu'dui'zu'di'pao'shang'ma 仙人指路对卒底炮上马
'xian'sheng 先胜
'xian'shou'bi'he 先手逼和
'xian'shou'dui'zhen 先手对阵
'xian'shou'qiu'wen'jian 先手求稳健
'xian'shou'zhan 先手战
'xiang'jia'lian'sai 象甲联赛
'xiang'jiu 相九
'xiang'jiu'jin'qi 相九进七
'xiang'jiu'tui'qi 相九退七
'xiang'qi 相七
'xiang'qi'can'ju'xin'lun 象棋残局新论
'xiang'qi'jin'jiu 相七进九
'xiang'qi'jin'wu 相七进五
'xiang'qi'pan 象棋盘
'xiang'qi'shi'hua 象棋史话
'xiang'qi'shi'jue 象棋十诀
'xiang'qi'te'ji'da'shi 象棋特级大师
'xiang'qi'tui'jiu 相七退九
'xiang'qi'tui'jiu'che 相七退九车
'xiang'qi'tui'wu 相七退五
'xiang'qi'ye'yu'er'ji 象棋业余贰级
'xiang'qi'ye'yu'lu'ji 象棋业余陆级
'xiang'qi'ye'yu'si'ji 象棋业余肆级
'xiang'qi'ye'yu'wu'ji 象棋业余伍级
'xiang'qi'ye'yu'yi'ji 象棋业余壹级
'xiang'qi'zhong'ju'sha'shi 象棋中局杀势
'xiang'san 相三
'xiang'san'jin'wu 相三进五
'xiang'san'jin'yi 相三进一
'xiang'san'tui'wu 相三退五
'xiang'san'tui'yi 相三退一
'xiang'tou'zu 象头卒
'xiang'wu 相五
'xiang'wu'jin'qi 相五进七
'xiang'wu'jin'san 相五进三
'xiang'wu'jin'san'che 相五进三车
'xiang'wu'tui'qi 相五退七
'xiang'wu'tui'san 相五退三
'xiang'wu'tui'san'che 相五退三车
'xiang'wu'tui'san'pao 相五退三炮
'xiang'yi'jin'san 相一进三
'xiang'yi'tui'san 相一退三
'xiang'zou'tian'zi 相走田字
'xiao'chu'hei'fang 消除黑方
'xie'shuai 胁帅
'xie'xian'zou'yi'bu 斜线走一步
'xie'yan'pao 蟹眼炮
'xie'zou'liang'bu 斜走两步
