'a'can 阿餐
'shu'mi'yuan'jing'li 枢密院经历
'shu'mi'yuan'li'fang'fu'cheng'zhi 枢密院礼房副承旨
'shu'mi'yuan'qian'yuan 枢密院佥院
'shu'mi'yuan'tong'qian 枢密院同佥
'shu'mi'yuan'tong'zhi 枢密院同知
'shu'mi'yuan'yuan'pan 枢密院院判
'shu'mi'yuan'yuan'shi 枢密院掾史
'shu'mi'yuan'zhi'yuan 枢密院知院
'shu'mi'zhi'xue'shi 枢密直学士
'shu'ren 淑人
'shu'yuan'shan'chang 书院山长
'shu'zhuang'guan 书状官
'shuai'fu'jing'li 帅府经历
'shuai'fu'zhao'mo 帅府照磨
'shui'bu'lang'zhong 水部郎中
'shui'bu'si'lang'zhong 水部司郎中
'shui'bu'si'yuan'wai'lang 水部司员外郎
'shui'bu'yuan'wai'lang 水部员外郎
'shui'jun'wan'hu 水军万户
'shui'ke'ju'da'shi 税课局大使
'shui'ke'shi 税课使
'shui'ke'si'da'shi 税课司大使
'shui'lu'fa'yun'shi 水路发运使
'shui'lu'zhuan'yun'shi 水陆转运使
'shui'lu'zhuan'yun'shi'pan'guan 水陆转运使判官
'shui'shi'si'da'shi 税使司大使
'shui'shi'si'ti'ling 税使司提领
'shuo'ren 硕人
'shuo'shu 说书
'si'cang 司仓
'si'cheng 寺丞
'si'fa'can'jun 司法参军
'si'fa'can'jun'shi 司法参军事
'si'fang'guan'shi 四方馆使
'si'feng'lang'zhong 司封郎中
'si'feng'si'lang'guan 司封司郎官
'si'feng'si'lang'zhong 司封司郎中
'si'feng'si'yuan'wai'lang 司封司员外郎
'si'feng'yuan'wai'lang 司封员外郎
'si'fu 寺副
'si'hu'can'jun 司户参军
'si'jian 司谏
'si'jing'ju'zheng'zi 司经局正字
'si'kong 司空
'si'li'can'jun 司理参军
'si'li'can'jun'shi 司理参军事
'si'lu'can'jun'shi 司录参军事
'si'ma 司马
'si'men'bo'shi 四门博士
'si'men'lang'zhong 司门郎中
'si'men'yuan'wai'lang 司门员外郎
'si'nong'qing 司农卿
'si'nong'shao'qing 司农少卿
'si'nong'si'cheng 司农寺丞
'si'nong'si'qing 司农寺卿
'si'nong'si'shao'qing 司农寺少卿
'si'nong'si'zhu'bu 司农寺主簿
'si'shi'can'jun 司士参军
'si'tian'jian'cheng 司天监丞
'si'tian'jian'dong'guan'zheng 司天监冬官正
'si'tian'jian'ti'xue 司天监提学
'si'tian'jian'zhu'bu 司天监主簿
'si'tu 司徒
'si'wang 嗣王
'si'xun'lang'zhong 司勋郎中
'si'xun'si'lang'zhong 司勋司郎中
'si'xun'si'yuan'wai'lang 司勋司员外郎
'si'xun'yuan'wai'lang 司勲员外郎
'si'ye 司业
'si'yi'guan'yi'zi'guan 四夷馆译字官
'si'yi'lang 司议郎
'si'yu 司狱
'si'yuan'wai'lang 司员外郎
'su'wei 宿卫
'su'zheng'lian'fang'si'fu'shi 肃政廉访司副使
'su'zheng'lian'fang'si'jing'li 肃政廉访司经历
'su'zheng'lian'fang'si'lian'fang'shi 肃政廉访司廉访使
'su'zheng'lian'fang'si'qian'shi 肃政廉访司佥事
'su'zheng'lian'fang'si'shu'li 肃政廉访司书吏
'su'zheng'lian'fang'si'yuan 肃政廉访司掾
'suo'da'shi 所大使
'suo'li'mu 所吏目
'suo'zhen'fu 所镇抚
'tai'an'ren 太安人
'tai'bao 太保
'tai'chang'bo'shi 太常博士
'tai'chang'cheng 太常丞
'tai'chang'feng'li 太常奉礼
'tai'chang'li'yi'yuan'bo'shi 太常礼仪院博士
'tai'chang'li'yi'yuan'feng'li'lang 太常礼仪院奉礼郎
'tai'chang'li'yi'yuan'tai'zhu 太常礼仪院太祝
'tai'chang'li'yi'yuan'yuan'pan 太常礼仪院院判
'tai'chang'qing 太常卿
'tai'chang'shao'qing 太常少卿
'tai'chang'si'bo'shi 太常寺博士
'tai'chang'si'cheng 太常寺丞
'tai'chang'si'dian'bu 太常寺典簿
'tai'chang'si'feng'li'lang 太常寺奉礼郎
'tai'chang'si'qing 太常寺卿
'tai'chang'si'shao'qing 太常寺少卿
'tai'chang'si'tai'zhu 太常寺太祝
'tai'chang'si'xie'lv'lang 太常寺协律郎
'tai'chang'si'zhu'bu 太常寺主簿
'tai'chang'tong'qian 太常同佥
'tai'chang'yuan'shi 太常院使
'tai'chuan 太传
'tai'fu 太傅
'tai'fu'qing 太府卿
'tai'fu'ren 太夫人
'tai'fu'shao'qing 太府少卿
'tai'fu'si'cheng 太府寺丞
'tai'fu'si'qing 太府寺卿
'tai'fu'si'shao'qing 太府寺少卿
'tai'fu'si'zhu'bu 太府寺主簿
'tai'gong'ren 太恭人
'tai'huang'tai'hou 太皇太后
'tai'jian 太监
'tai'miao'zhai'lang 太庙斋郎
'tai'pu'qing 太仆卿
'tai'pu'shao'qing 太仆少卿
'tai'pu'si'cheng 太仆寺丞
'tai'pu'si'qing 太仆寺卿
'tai'pu'si'shao'qing 太仆寺少卿
'tai'ru'ren 太孺人
'tai'shang'huang 太上皇
'tai'she'ju'ling 太社局令
'tai'shi 太史
'tai'shi 太师
'tai'shi'ling 太史令
'tai'shou 太守
'tai'shu'ren 太淑人
'tai'wei 太尉
'tai'xi'yuan'shi 太禧院使
'tai'xue'bo'shi 太学博士
'tai'xue'da'si'cheng 太学大司成
'tai'xue'liang'you'shi'he'ren 太学两优释褐人
'tai'xue'lu 太学录
'tai'xue'nei'she'sheng 太学内舍生
'tai'xue'shang'she'sheng 太学上舍生
'tai'xue'sheng 太学生
'tai'xue'zheng 太学正
'tai'xue'zhu'jiao 太学助教
'tai'yi'ren 太宜人
'tai'yi'yuan'li'mu 太医院吏目
'tai'yi'yuan'shi 太医院使
'tai'yi'yuan'yi'shi 太医院医士
'tai'yi'yuan'yu'yi 太医院御医
'tai'yi'yuan'yuan'pan 太医院院判
'tai'zai 太宰
'tai'zhong'da'fu 太中大夫
'tai'zi 太子
'tai'zi'bin'ke 太子宾客
'tai'zi'bin'ke'fen'si'dong'du 太子宾客分司东都
'tai'zi'lv'geng'ling 太子率更令
'tai'zi'shao'bao 太子少保
'tai'zi'shao'bao'fen'si'dong'du 太子少保分司东都
'tai'zi'shao'fu 太子少傅
'tai'zi'shao'shi 太子少师
'tai'zi'shao'zhan'shi 太子少詹事
'tai'zi'she'ren 太子舍人
'tai'zi'shi'du 太子侍读
'tai'zi'shi'jiang 太子侍讲
'tai'zi'si'yi'lang 太子司仪郎
'tai'zi'tai'bao 太子太保
'tai'zi'tai'fu 太子太傅
'tai'zi'tai'shi 太子太师
'tai'zi'tong'shi'she'ren 太子通事舍人
'tai'zi'wen'xue 太子文学
'tai'zi'xi'ma 太子洗马
'tai'zi'xiao'shu'lang 太子校书郎
'tai'zi'you'jian'men'lv'fu'fu'lv 太子右监门率府副率
'tai'zi'you'jian'men'lv'fu'lv 太子右监门率府率
'tai'zi'you'nei'lv'fu'fu'lv 太子右内率府副率
'tai'zi'you'shu'zi 太子右庶子
'tai'zi'you'wei'lv'fu'lv 太子右卫率府率
'tai'zi'you'yu'de 太子右谕德
'tai'zi'you'zan'shan'dai'fu 太子右赞善大夫
'tai'zi'yu'de 太子谕德
'tai'zi'zhan'shi 太子詹事
'tai'zi'zheng'zi 太子正字
'tai'zi'zhong'she'ren 太子中舍人
'tai'zi'zhong'yun 太子中允
'tai'zi'zhu'lv'fu'fu'lv 太子诸率府副率
'tai'zi'zuo'qing'dao'lv'fu'fu'lv 太子左清道率府副率
'tai'zi'zuo'shu'zi 太子左庶子
'tai'zi'zuo'yu'de 太子左谕德
'tai'zi'zuo'zan'shan'dai'fu 太子左赞善大夫
'tang'hou'guan 堂后官
'te'jin 特进
'ti'dian 提点
'ti'dian'gong'guan 提点宫观
'ti'dian'kai'feng'fu'jie'zhu'xian'zhen'gong'shi 提点开封府界诸县镇公事
'ti'dian'si'guan'gong 提点寺观宫
'ti'dian'xing'yu'si'gan'ban'gong'shi 提点刑狱司干办公事
'ti'dian'xing'yu'si'jian'fa'guan 提点刑狱司检法官
'ti'ju 提举
'ti'ju'bian'xiu'guo'chao'hui'yao 提举编修国朝会要
'ti'ju'bian'xiu'yu'die 提举编修玉牒
'ti'ju'bo'zhou'ming'dao'gong 提举亳州明道宫
'ti'ju'cha'chang'mai'ma 提举茶场买马
'ti'ju'cha'yan'gong'shi 提举茶盐公事
'ti'ju'cha'yan'guan 提举茶盐官
'ti'ju'cha'yan'si'gan'ban'gong'shi 提举茶盐司干办公事
'ti'ju'chang'ping 提举常平
'ti'ju'chang'ping'cha'yan'gong'shi 提举常平茶盐公事
'ti'ju'chang'ping'si'gan'ban'gong'shi 提举常平司干办公事
'ti'ju'chang'ping'si'zhu'guan'guan 提举常平司主管官
'ti'ju'gong'guan 提举宫观
'ti'ju'hang'zhou'dong'xiao'gong 提举杭州洞霄宫
'ti'ju'jiang'zhou'tai'ping'guan 提举江州太平观
'ti'ju'shi'bo'si'guan 提举市舶司官
'ti'ju'tai'ping'xing'guo'gong 提举太平兴国宫
'ti'ju'xi'jing'song'shan'chong'fu'gong 提举西京嵩山崇福宫
'ti'ju'xiu'chi'ling 提举修敕令
'ti'ju'zai'jing'zhu'si 提举在京诸司
'ti'ju'zai'wai'gong'guan 提举在外宫观
'ti'kong'an'du 提控案牍
'ti'xia'que'huo'wu'jian'dou'cha'chang 提辖榷货务兼都茶场
'ti'xia'wen'si'yuan'shang'xia'jie 提辖文思院上下界
'ti'xia'za'mai'wu'za'mai'chang 提辖杂买务杂卖场
'ti'xing'an'cha'shi'si'an'cha'shi 提刑按察使司按察使
'ti'xing'an'cha'shi'si'fu'shi 提刑按察使司副使
'ti'xing'an'cha'shi'si'qian'shi 提刑按察使司佥事
'ti'xing'an'cha'shi'si'ti'xue'fu'shi 提刑按察使司提学副使
'ti'xing'an'cha'shi'si'zhao'mo 提刑按察使司照磨
'ti'xing'an'cha'shi'si'zhi'shi 提刑按察使司知事
'ti'xue'fu'shi 提学副使
'ti'xue'guan 提学官
'ti'xue'qian'shi 提学佥事
'tian'guan'lang'zhong 天官郎中
'tian'guan'shi'lang 天官侍郎
'tian'guan'yuan'wai'lang 天官员外郎
'tian'shi 天师
'tian'zhang'ge'dai'zhi 天章阁待制
'tian'zhang'ge'shi'jiang 天章阁侍讲
'tie'ye'dou'ti'ju 铁冶都提举
'ting'xuan'guan 听选官
'tong'dong'xi'tai'san'pin 同东西台三品
'tong'feng'dai'fu 通奉大夫
'tong'feng'ge'luan'tai'ping'zhang'shi 同凤阁鸾台平章事
'tong'jun 统军
'tong'kao'guan 同考官
'tong'ling 统领
'tong'pan 通判
'tong'pan'dou'gou'yuan 同判都勾院
'tong'pan'jun'zhou'shi 同判军州事
'tong'pan'lin'an'jun'fu'shi 通判临安军府事
'tong'pan'mou'fu'jun'fu'shi 通判某府军府事
'tong'pan'mou'jun'shi 通判某军事
'tong'pan'mou'zhou'jun'zhou'shi 通判某州军州事
'tong'pan'si'nong'si'shi 同判司农寺事
'tong'qian 同佥
'tong'qian'shu'shu'mi'yuan'shi 同签书枢密院事
'tong'shi'lang 通仕郎
'tong'shi'she'ren 通事舍人
'tong'ti'ju'bian'xiu'chi'ling 同提举编修敕令
'tong'ti'ju'bian'xiu'jing'wu'yao'lue 同提举编修经武要略
'tong'ti'ju'cha'chang'mai'ma 同提举茶场买马
'tong'xiu'guo'shi 同修国史
'tong'xiu'qi'ju'zhu 同修起居注
'tong'yi'dai'fu 通议大夫
'tong'zheng'shi 通政使
'tong'zheng'shi'si'tong'zheng'shi 通政使司通政使
'tong'zheng'si'guan'zheng 通政司观政
'tong'zheng'si'you'tong'zheng 通政司右通政
'tong'zheng'yuan'bi'she'chi 通政院必阇赤
'tong'zheng'yuan'pan'guan 通政院判官
'tong'zheng'yuan'shi 通政院使
'tong'zheng'yuan'ti'kong'ling'shi 通政院提控令史
'tong'zheng'yuan'xuan'shi 通政院宣使
'tong'zhi 同知
'tong'zhi 统制
'tong'zhi'da'zong'zheng'si'shi 同知大宗正司事
'tong'zhi'jian'yuan 同知谏院
'tong'zhi'lang 通直郎
'tong'zhi'san'qi'chang'shi 通直散骑常侍
'tong'zhi'san'qi'shi'lang 通直散骑侍郎
'tong'zhi'shu'mi'yuan'shi 同知枢密院事
'tong'zhi'tai'chang'li'yuan 同知太常礼院
'tong'zhong'shu'men'xia'ping'zhang'shi 同中书门下平章事
'tong'zhong'shu'men'xia'san'pin 同中书门下三品
'tuan'lian'fu'shi 团练副使
'tuan'lian'guan'cha'shi 团练观察使
'tuan'lian'pan'guan 团练判官
'tuan'lian'shi 团练使
'tuan'lian'tui'guan 团练推官
'tui'guan 推官
'tun'tian 屯田
'tun'tian'lang'zhong 屯田郎中
'tun'tian'si'lang'guan 屯田司郎官
'tun'tian'wan'hu 屯田万户
'tun'tian'yuan'wai'lang 屯田员外郎
'wan'hu 万户
'wan'hu'fu'da'lu'hua'chi 万户府达鲁花赤
'wan'hu'fu'jing'li 万户府经历
'wan'hu'fu'zhi'shi 万户府知事
'wan'lang 挽郎
'wan'rong 婉容
'wang'fu 王傅
'wang'fu'can'jun 王府参军
'wang'fu'cang'cao'can'jun 王府仓曹参军
'wang'fu'dian'jun 王府典军
'wang'fu'dian'shan 王府典膳
'wang'fu'dui'zheng 王府队正
'wang'fu'fa'cao'can'jun 王府法曹参军
'wang'fu'gong'cao'can'jun 王府功曹参军
'wang'fu'hu'cao 王府户曹
'wang'fu'ji'shi'can'jun 王府记室参军
'wang'fu'jiao'shou 王府教授
'wang'fu'lu'shi'can'jun 王府录事参军
'wang'fu'shi'du 王府侍读
'wang'fu'si'ma 王府司马
'wang'fu'wen'xue 王府文学
'wang'fu'yin'li'she'ren 王府引礼舍人
'wang'fu'you'zhang'shi 王府右长史
'wang'fu'yuan 王府掾
'wang'fu'zhang'shi 王府长史
'wang'fu'zhu'bu 王府主簿
'wang'fu'zi'yi'can'jun 王府咨议参军
'wang'shi 王师
'wang'xiang 王相
'wang'you 王友
'wei'bing'cao 卫兵曹
'wei'bing'cao'can'jun 卫兵曹参军
'wei'cang'cao'can'jun 卫仓曹参军
'wei'da'jiang'jun 卫大将军
'wei'jiang'jun 卫将军
'wei'jing'li 卫经历
'wei'kai'cao'can'jun 卫铠曹参军
'wei'lang'jiang 卫郎将
'wei'lu'shi'can'jun 卫录事参军
'wei'lv'fu'bing'cao'can'jun 卫率府兵曹参军
'wei'qi'cao'can'jun 卫骑曹参军
'wei'qian'hu 卫千户
'wei'shang'jiang'jun 卫上将军
'wei'wei 卫尉
'wei'wei'qing 卫尉卿
'wei'wei'shao'qing 卫尉少卿
'wei'wei'si'cheng 卫尉寺丞
'wei'wei'si'qing 卫尉寺卿
'wei'wei'si'shao'qing 卫尉寺少卿
'wei'xiang 未详
'wei'yi'fu'zhong'lang'jiang 卫翊府中郎将
'wei'zhen'fu 卫镇抚
'wei'zhi'du'zhi'hui'shi 卫直都指挥使
'wei'zhi'shi 卫知事
'wei'zhou'cao'can'jun 卫冑曹参军
'wen'chang'zuo'cheng 文昌左丞
'wen'lin'lang 文林郎
'wen'si'fu'shi 文思副使
'wen'si'shi 文思使
'wen'si'yuan'da'shi 文思院大使
'wen'si'yuan'fu'shi 文思院副使
'wen'xue 文学
'wen'xue'guan'xue'shi 文学馆学士
'wen'xue'yuan 文学掾
'wo'shi'fen'ge'xian 我是分割线
'wu'ben'lang'jiang 武贲郎将
'wu'de'dai'fu 武德大夫
'wu'de'jiang'jun 武德将军
'wu'de'lang 武德郎
'wu'gong'dai'fu 武功大夫
'wu'gong'lang 武功郎
'wu'jie'dai'fu 武节大夫
'wu'jie'lang 武节郎
'wu'jing'dai'fu 武经大夫
'wu'jing'lang 武经郎
'wu'lue'dai'fu 武略大夫
'wu'lue'jiang'jun 武略将军
'wu'qi'wei 武骑尉
'wu'wei 武尉
'wu'xian'dai'fu 武显大夫
'wu'xue'bo'shi 武学博士
'wu'xue'yu 武学谕
'wu'yi'dai'fu 武翼大夫
'wu'yi'lang 武翼郎
'wu'ying'dian'da'xue'shi 武英殿大学士
'xi'jing'zuo'cang'ku'fu'shi 西京左藏库副使
'xi'jing'zuo'cang'ku'shi 西京左藏库使
'xi'jing'zuo'fang'shi 西京作坊使
'xi'jue 袭爵
'xi'ran'yuan'fu'shi 西染院副使
'xi'ran'yuan'shi 西染院使
'xi'shang'he'men'fu'shi 西上合门副使
'xi'shang'he'men'shi 西上合门使
'xi'tai'cha'yuan'jian'cha'yu'shi 西台察院监察御史
'xi'tai'dai'fu 西台大夫
'xi'tou'gong'feng'guan 西头供奉官
'xia'bai'hu'suo'bai'hu 下百户所百户
'xia'qian'hu'suo'da'lu'hua'chi 下千户所达鲁花赤
'xia'qian'hu'suo'tan'ya 下千户所弹压
'xian'bo 县伯
'xian'cheng 县丞
'xian'da'lu'hua'chi 县达鲁花赤
'xian'dian'shi 县典史
'xian'fei 贤妃
'xian'feng 先锋
'xian'gong 县公
'xian'hou 县侯
'xian'jun 县君
'xian'kai'guo'gong 县开国公
'xian'kai'guo'nan 县开国男
'xian'kai'guo'zi 县开国子
'xian'liang'fang'zheng 贤良方正
'xian'ling 县令
'xian'mo'ge'dai'zhi 显谟阁待制
'xian'mo'ge'xue'shi 显谟阁学士
'xian'mo'ge'zhi'xue'shi 显谟阁直学士
'xian'nan 县男
'xian'si'zhao'mo 宪司照磨
'xian'si'zhi'shi 宪司知事
'xian'tai'jun 县太君
'xian'wei 县尉
'xian'wen'ge'dai'zhi 显文阁待制
'xian'xue'jiao'shou 县学教授
'xian'xue'jiao'yu 县学教谕
'xian'xue'xun'dao 县学训导
'xian'yin 县尹
'xian'zhang 县长
'xian'zhu 县主
'xian'zhu'bu 县主簿
'xian'zi 县子
'xiang'ding'yi'si'chi'ling'suo'shan'ding'guan 详定一司敕令所删定官
'xiang'du'zhi'hui'shi 厢都指挥使
'xiang'jun 乡君
'xiang'xian 乡贤
'xiang'yin'bin 乡饮宾
'xiao'guan 校官
'xiao'qi'wei 骁骑尉
'xiao'shu'lang 校书郎
'xiao'wei 校尉
'xiao'zi 孝子
'xie'lv'lang 协律郎
'xing'bu'guan'zheng 刑部观政
'xing'bu'lang'guan 刑部郎官
'xing'bu'lang'zhong 刑部郎中
'xing'bu'shang'shu 刑部尚书
'xing'bu'shi'lang 刑部侍郎
'xing'bu'you'shi'lang 刑部右侍郎
'xing'bu'yuan'wai'lang 刑部员外郎
'xing'bu'zhu'shi 刑部主事
'xing'bu'zuo'shi'lang 刑部左侍郎
'xing'cha'guan 省察官
'xing'da'si'nong'si'cheng 行大司农司丞
'xing'da'si'nong'si'xuan'shi 行大司农司宣使
'xing'jun'qian'hu'suo'bai'hu 行军千户所百户
'xing'jun'si'ma 行军司马
'xing'jun'wan'hu 行军万户
'xing'jun'zhang'shi 行军长史
'xing'jun'zong'guan 行军总管
'xing'ke'ji'shi'zhong 刑科给事中
'xing'ren'si'fu 行人司副
'xing'ren'si'xing'ren 行人司行人
'xing'sheng'can'yi 行省参议
'xing'sheng'jian'jiao 行省检校
'xing'sheng'qian'shi 行省佥事
'xing'sheng'ru'xue'fu'ti'ju 行省儒学副提举
'xing'sheng'ru'xue'ti'ju 行省儒学提举
'xing'tai'pu'si'qing 行太仆寺卿
'xing'tai'yu'shi 行台御史
'xing'ying'bing'ma'dou'jian 行营兵马都监
'xing'ying'dou'bu'shu'zong'guan 行营都部署总管
'xing'yu'shi'tai'yu'shi'da'fu 行御史台御史大夫
'xing'zhong'shu'sheng'can'zheng 行中书省参政
'xing'zhong'shu'sheng'can'zhi'zheng'shi 行中书省参知政事
'xing'zhong'shu'sheng'cheng'xiang 行中书省丞相
'xing'zhong'shu'sheng'dou'shi 行中书省都事
'xing'zhong'shu'sheng'guan'gou 行中书省管勾
'xing'zhong'shu'sheng'lang'zhong 行中书省郎中
'xing'zhong'shu'sheng'ping'zhang 行中书省平章
'xing'zhong'shu'sheng'xuan'shi 行中书省宣使
'xing'zhong'shu'sheng'you'cheng'xiang 行中书省右丞相
'xing'zhong'shu'sheng'yuan 行中书省掾
'xing'zhong'shu'sheng'yuan'wai'lang 行中书省员外郎
'xing'zhong'shu'sheng'zhao'mo 行中书省照磨
'xing'zhong'shu'sheng'zuo'cheng'xiang 行中书省左丞相
'xiu'guo'shi 修国史
'xiu'li'shu 修礼书
'xiu'wen'guan'xue'shi 修文馆学士
'xiu'wen'guan'zhi'xue'shi 修文馆直学士
'xiu'wu'lang 修武郎
'xiu'yuan'shi 修元史
'xiu'zhi'lang 修职郎
'xiu'zhuan 修撰
'xu'ban 序班
'xuan'de'lang 宣德郎
'xuan'feng'dai'fu 宣奉大夫
'xuan'fu'chu'zhi'shi 宣抚处置使
'xuan'fu'chu'zhi'shi'si'can'yi'guan 宣抚处置使司参议官
'xuan'fu'chu'zhi'shi'si'gan'ban'gong'shi 宣抚处置使司干办公事
'xuan'fu'fu'shi 宣抚副使
'xuan'fu'shi 宣抚使
'xuan'fu'shi'si'can'yi'guan 宣抚使司参议官
'xuan'fu'si'can'mou 宣抚司参谋
'xuan'fu'si'xuan'fu 宣抚司宣抚
'xuan'hui'bei'yuan'shi 宣徽北院使
'xuan'hui'nan'yuan'shi 宣徽南院使
'xuan'hui'shi 宣徽使
'xuan'hui'yuan'shi 宣徽院使
'xuan'hui'yuan'tong'zhi 宣徽院同知
'xuan'jiao'lang 宣教郎
'xuan'wei'shi 宣慰使
'xuan'wei'shi'si'fu'shi 宣慰使司副使
'xuan'wei'shi'si'tong'zhi 宣慰使司同知
'xuan'wei'si'dou'yuan'shuai'fu'dou'shi 宣慰司都元帅府都事
'xuan'wei'si'dou'yuan'shuai'fu'jing'li 宣慰司都元帅府经历
'xuan'wei'si'dou'yuan'shuai'fu'zhao'mo 宣慰司都元帅府照磨
'xuan'wei'si'ling'shi 宣慰司令史
'xuan'wei'yuan'shuai 宣慰元帅
'xuan'yi'lang 宣义郎
'xuan'yi'lang 宣议郎
'xuan'yu'shi 宣谕使
'xuan'zheng'shi 宣政使
'xuan'zheng'yuan'shi 宣政院使
'xue'guan 学官
'xue'lu 学录
'xue'shi 学士
'xue'yu 学谕
'xue'zheng 学正
'xun'dao 训导
'xun'fu 巡抚
'xun'fu'shi 巡抚使
'xun'fu'you'fu'dou'yu'shi 巡抚右副都御史
'xun'guan 巡官
'xun'jian 巡检
'xun'jian'shi 巡检使
'xun'ke 训科
'xun'shu 训术
'xun'wu'lang 训武郎
'xun'xia'ma'di'pu'guan 巡辖马递铺官
'ya'jiang 衙将
'ya'nei'du'zhi'hui'shi 衙内都指挥使
'ya'ya 押衙
'ya'zhong'da'fu 亚中大夫
'yan'fu'gong'shi 延福宫使
'yan'hai'zhi'zhi'shi 沿海制置使
'yan'hai'zhi'zhi'shi'si 沿海制置使司
'yan'hai'zhi'zhi'si'can'yi'guan 沿海制置司参议官
'yan'jiang'shui'jun'zhi'zhi'fu'shi 沿江水军制置副使
'yan'jiang'shui'jun'zhi'zhi'shi 沿江水军制置使
'yan'kang'dian'xue'shi 延康殿学士
'yan'sheng'gong 衍圣公
'yan'tie'shi 盐铁使
'yan'tie'tui'guan 盐铁推官
'yan'yun'shi 盐运使
'yan'yun'si'zhi'shi 盐运司知事
'yang'bing 养病
'yao'jun'ci'shi 遥郡刺史
'yao'jun'fang'yu'shi 遥郡防御使
'yao'jun'tuan'lian'shi 遥郡团练使
'yi'bin 仪宾
'yi'bing'zhi'hui'qian'hu 义兵指挥千户
'yi'cheng 驿丞
'yi'er'han 伊儿汗
'yi'fu'qian'hu 翼副千户
'yi'guan 义官
'yi'guan 医官
'yi'luan'shi 仪鸾使
'yi'min'guan 义民官
'yi'mu 议幕
'yi'pin'fu'ren 一品夫人
'yi'qian'hu 翼千户
'yi'ren 医人
'yi'ren 宜人
'yi'sheng 医生
'yi'shi 医士
'yi'tong'san'si 仪同三司
'yi'wei 翊卫
'yi'wei'dai'fu 翊卫大夫
'yi'xia'qian'hu'suo'li'mu 翼下千户所吏目
'yi'xue'dian'ke 医学典科
'yi'xue'ti'ju'si'ti'ju 医学提举司提举
'yi'xue'xun'ke 医学训科
'yi'xue'zheng'ke 医学正科
'yin'jia 引驾
'yin'jin'si'fu'shi 引进司副使
'yin'jin'si'shi 引进司使
'yin'jiu'jian'wu 银酒监武
'yin'li 引礼
'yin'li'she'ren 引礼舍人
'yin'qing'guang'lu'dai'fu 银青光禄大夫
'yin'yang'dian'shu 阴阳典术
'yin'yang'guan 阴阳官
'yin'yang'xue'zheng 阴阳学正
'yin'yang'xun'shu 阴阳训术
'yin'yang'zheng'shu 阴阳正术
'ying'tian'fu'shi 营田副使
'ying'tian'shi 营田使
'ying'yang 鹰扬
'ying'yang'lang 膺扬郎
'ying'yang'lang'jiang 膺扬郎将
'ying'yang'lang'jiang 鹰扬郎将
'you'ban'dian'zhi 右班殿直
'you'bu'que 右补阙
'you'bu'zheng'shi 右布政使
'you'can'yi 右参议
'you'can'zheng 右参政
'you'chao'feng'dai'fu 右朝奉大夫
'you'chao'feng'lang 右朝奉郎
'you'chao'qing'dai'fu 右朝请大夫
'you'chao'qing'lang 右朝请郎
'you'chao'san'dai'fu 右朝散大夫
'you'chao'san'lang 右朝散郎
'you'chao'yi'dai'fu 右朝议大夫
'you'cheng'feng'lang 右承奉郎
'you'cheng'shi'lang 右承事郎
'you'cheng'wu'lang 右承务郎
'you'cheng'xiang 右丞相
'you'cheng'yi'lang 右承议郎
'you'cong'zheng'lang 右从政郎
'you'di'gong'lang 右迪功郎
'you'du'yu'shi 右都御史
'you'feng'yi'lang 右奉议郎
'you'feng'zhi'dai'fu 右奉直大夫
'you'fu'dou'yu'shi 右副都御史
'you'fu'yuan'shuai 右副元帅
'you'guang'lu'dai'fu 右光禄大夫
'you'guo'yi'du'wei 右果毅都尉
'you'ji'jiang'jun 游击将军
'you'ji'shi'zhong 右给事中
'you'jian'men'wei'da'jiang'jun 右监门卫大将军
'you'jian'men'wei'jiang'jun 右监门卫将军
'you'jian'yi'da'fu 右谏议大夫
'you'jin'wu'da'jiang'jun 右金吾大将军
'you'jin'wu'jiang'jun 右金吾将军
'you'jin'wu'wei'bing'cao'can'jun 右金吾卫兵曹参军
'you'jin'wu'wei'da'jiang'jun 右金吾卫大将军
'you'jin'wu'wei'shang'jiang'jun 右金吾卫上将军
'you'ling'jun'da'jiang'jun 右领军大将军
'you'ling'jun'wei'da'jiang'jun 右领军卫大将军
'you'ling'jun'wei'jiang'jun 右领军卫将军
'you'ling'jun'wei'shang'jiang'jun 右领军卫上将军
'you'long'wu'jun'da'jiang'jun 右龙武军大将军
'you'pu'ye 右仆射
'you'pu'ye'jian'men'xia'shi'lang 右仆射兼门下侍郎
'you'qi'ji'fu'shi 右骐骥副使
'you'qi'ji'shi 右骐骥使
'you'qian'du'yu'shi 右佥都御史
'you'qian'niu 右千牛
'you'qian'niu'wei'da'jiang'jun 右千牛卫大将军
'you'qian'niu'wei'jiang'jun 右千牛卫将军
'you'qian'niu'wei'shang'jiang'jun 右千牛卫上将军
'you'san'qi'chang'shi 右散骑常侍
'you'shen'wu'jun'da'jiang'jun 右神武军大将军
'you'shen'wu'jun'jiang'jun 右神武军将军
'you'shi'jin 右侍禁
'you'shi'yi 右拾遗
'you'si'jian 右司谏
'you'tai'zhong'da'fu 右太中大夫
'you'tong'feng'dai'fu 右通奉大夫
'you'tong'zheng 右通政
'you'tong'zhi'lang 右通直郎
'you'tun'wei 右屯卫
'you'tun'wei'da'jiang'jun 右屯卫大将军
'you'tun'wei'jiang'jun 右屯卫将军
'you'wei'da'jiang'jun 右卫大将军
'you'wei'jiang'jun 右卫将军
'you'wei'shang'jiang'jun 右卫上将军
'you'wen'dian'xiu'zhuan 右文殿修撰
'you'wu'dai'fu 右武大夫
