'a'ka'pian 阿咖片
'a'qi'mei'su'gan'hun'xuan'ji 阿奇霉素干混悬剂
'ao'mei'la'zuo'chang'rong'jiao'nang 奥美拉唑肠溶胶囊
'ban'lan'gen'ke'li 板蓝根颗粒
'ben'huang'suan'an'lv'di'ping'pian 苯磺酸氨氯地平片
'can'shu'er'kang'tang'jiang 参术儿康糖浆
'chuan'bei'qing'fei'tang'jiang 川贝清肺糖浆
'chuan'long'gu'ci'jiao'nang 穿龙骨刺胶囊
'die'da'sun'shang'wan 跌打损伤丸
'duo'pan'li'tong'pian 多潘立酮片
'e'jiao'yi'shou'kou'fu'ye 阿胶益寿口服液
'e'qiu'qi'pian 饿求齐片
'fei'ning'jiao'nang 肺宁胶囊
'fu'fang'tong'kang'zuo'fa'yong'xi'ji 复方酮康唑发用洗剂
'fu'tai'xin'xi'ye 妇泰欣洗液
'gan'mao'qing'jiao'nang 感冒清胶囊
'gan'mao'zhi'ke'ke'li 感冒止咳颗粒
'ge'lie'qi'te'huan'shi'pian 格列齐特缓释片
'gong'yan'kang'ke'li 宫炎康颗粒
'gua'xi'ti'liu'gan'hun'xuan'ji 呱西替柳干混悬剂
'huo'xiang'zheng'qi'jiao'nang 藿香正气胶囊
'jian'er'xiao'shi'kou'fu'ye 健儿消食口服液
'ju'yuan'suan'bi'jia'jiao'nang 枸橼酸铋钾胶囊
'kou'yan'jiao'nang 口炎胶囊
'liu'wei'di'huang'jiao'nang 六味地黄胶囊
'liu'wei'di'huang'wan 六味地黄丸
'luo'hong'mei'su'ke'li 罗红霉素颗粒
'pai'shi'li'dan'ke'li 排石利胆颗粒
'qi'ye'shen'an'fen'san'pian 七叶神安分散片
'qiang'li'pi'pa'lu 强力枇杷露
'qing're'jie'du'ke'li 清热解毒颗粒
'ren'gong'niu'huang'jia'xiao'zuo'jiao'nang 人工牛黄甲硝唑胶囊
'run'chang'jiao'nang 润肠胶囊
'she'xiang'feng'shi'jiao'nang 麝香风湿胶囊
'she'xiang'jie'gu'jiao'nang 麝香接骨胶囊
'shi'du'qing'pian 湿毒清片
'tiao'jing'huo'xue'jiao'nang 调经活血胶囊
'tong'bian'ling'jiao'nang 通便灵胶囊
'tou'bao'ke'luo'fen'san'pian 头孢克洛分散片
'wei'kang'ling'jiao'nang 胃康灵胶囊
'wu'ji'bai'feng'wan 乌鸡白凤丸
'xiao'chai'hu'ke'li 小柴胡颗粒
'xiao'er'gan'mao'ke'li 小儿感冒颗粒
'xiao'er'ke'chuan'ling'ke'li 小儿咳喘灵颗粒
'xiao'er'si'wei'gai'gan'hun'xuan'ji 小儿四维钙干混悬剂
'xiao'er'xi'shi'ke'li 小儿喜食颗粒
'xin'fa'ta'ting'jiao'nang 辛伐他汀胶囊
'xin'fang'bi'yan'jiao'nang 辛芳鼻炎胶囊
'xin'xue'pian 新雪片
'yan'ke'ning'pian 炎可宁片
'yan'suan'an'xiu'suo'fen'san'pian 盐酸氨溴索分散片
'yan'suan'jia'ti'sha'xing'jiao'nang 盐酸加替沙星胶囊
'yan'suan'zuo'yang'fu'sha'xing'jiao'nang 盐酸左氧氟沙星胶囊
'yi'qi'yang'xue'kou'fu'ye 益气养血口服液
'yin'huang'di'wan 银黄滴丸
'zheng'xin'tai'pian 正心泰片
